"","Progressive.passes.per.90","Deep.completed.crosses.acc...","Deep.completed.crosses.per.90","Deep.completed.passes.acc...","Deep.completed.passes.per.90","Thru.passes.acc...","Thru.passes.per.90","Passes.to.penalty.area.acc...","Passes.to.penalty.area.per.90","Final.3rd.passes.acc...","Final.3rd.passes.per.90","Key.passes.per.90","Smt.passes.acc...","Smt.passes.per.90","Third.assists.per.90","Second.assists.per.90","Avg.lng.pass.length..m","Avg.pass.length..m","Lng.passes.acc...","Lng.passes.per.90","Lat.passes.acc...","Lat.passes.per.90","Back.passes.acc...","Back.passes.per.90","Fwd.passes.acc...","Fwd.passes.per.90","Passes.acc...","Passes.per.90","Red.cards.per.90","Red.cards","Yellow.cards.per.90","Yellow.cards","Fouls.per.90","Interceptions.per.opp.30","Interceptions.per.90","Shots.blocked.per.90","Tackles.per.opp.30","Tackle.succ...","Tackles.per.90","Aerial.duels.won..","Aerial.duels.per.90","Def.duels.won..","Def.duels.per.90","Succ..def..per.90","Progressive.runs.per.90","Touches.in.box.per.90","Dribbles.succ...","Dribbles.per.90","Crosses...","Crosses.per.90","xA.per.90","xA","Assists.per.90","Assists","Goal.conv....","Shots.on.target..","Shots.per.90","Shots.total","Head.goals.per.90","Head.goals.total","xG.per.90","Non.penalty.goals.per.90","Non.penalty.goals","Goals.per.90","Goals.total.1","Succ..att..actions","xG","total_passes_closeness","total_passes_betw","total_passes_pagerank","total_passes_transitivity","forward_passes_closeness","forward_passes_betw","forward_passes_pagerank","forward_passes_transitivity","back_passes_closeness","back_passes_betw","back_passes_pagerank","back_passes_transitivity","long_passes_closeness","long_passes_betw","long_passes_pagerank","long_passes_transitivity","final_3rd_passes_closeness","final_3rd_passes_betw","final_3rd_passes_pagerank","final_3rd_passes_transitivity","progressive_passes_closeness","progressive_passes_betw","progressive_passes_pagerank","progressive_passes_transitivity","Cluster"
"E. Tatarinov",0.2,0,0,1,0.5,0.2,0.3,1,0.1,0.5,0.2,0.5,0.2,0.4,0,0.5,0.3,0.3,0.5,0.3,0.9,0.4,1,0.5,0.7,0.4,0.9,0.6,0,0,0,0,0.2,0.3,0.2,0,0.3,0.5,0.2,0.4,0.2,0.7,0.4,0.4,0.2,0.7,0.6,0.1,0,0.1,0.3,0.1,0,0,0,0.3,0.5,0.1,0,0,0.3,0,0,0,0,0.2,0.1,0.6,0,0.4,0.5,0.4,0,0.1,0.5,0.2,0,0.4,0.8,0.2,0,0,0.7,0.3,0,0,0.9,0.3,0,0,0.6,1
"E. Yatchenko",0.5,1,0.1,0.8,0.2,0.4,0.2,0.4,0.2,0.5,0.5,0.1,1,0,0,0,0.3,0.1,0.6,0.3,0.8,0.2,1,0.1,0.6,0.3,0.8,0.3,0,0,0,0,0,0.3,0.4,0,0.2,0,0.2,0.6,0.3,0.8,0.3,0.5,0.2,0,0.6,0.1,0.2,0.2,0,0,0,0,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0.1,0,1,1,1,0,1,0.8,0.8,0.4,0.9,0.7,0.3,0,0.9,1,1,0.5,0.8,0.4,0.7,0.7,0.8,0.3,0.7,0.4,6
"F. Dvoretskov",0.3,0.8,0.1,0.9,0.4,0.3,0.2,0.4,0.3,0.7,0.3,0.1,0.2,0.1,0.1,0,0.5,0.3,0.6,0.2,0.8,0.1,0.9,0.6,0.7,0.3,0.9,0.3,0,0,0.1,0.2,0.2,0.2,0.2,0,0.1,0.2,0.1,0.4,0.2,0.5,0.3,0.3,0.1,0.3,0.3,0.2,0.2,0.2,0.1,0.2,0.1,0.1,0,0.2,0.3,0.3,0,0,0.1,0,0,0,0,0.2,0.1,0.9,0.4,0.9,0,0.9,1,0.6,0,0.8,0.5,1,0.1,1,0.6,0.4,0.5,1,0.6,0.3,0.5,1,1,0.4,0,6
"F. Pervushin",0.7,0.7,0.3,0.9,0.2,0,0.1,0.4,0.5,0.7,0.4,0.2,0.2,0.1,0,0.1,0.3,0.2,0.3,0.1,0.7,0.1,0.9,0.5,0.7,0.2,0.8,0.2,0.3,0.5,0.2,0.3,0.5,0.2,0.3,0.1,0.2,0.5,0.2,0.4,0.4,0.5,0.4,0.4,0.4,0.1,0.8,0.2,0.2,0.4,0.1,0.1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.2,0,0.9,0.6,0.9,0.1,1,1,1,0.2,1,1,0.7,0.3,0.9,0.2,0.3,0.4,0.9,0.4,0.8,0.3,0.8,0.6,0.6,0.5,6
"F. Vasiev",0.5,1,0.2,1,0.5,0.5,0.3,0.8,0.3,0.6,0.2,0,0,0,0,0,0.9,1,0.7,0.4,1,0,0,0,0.7,0.2,0.8,0.1,0,0,0,0.2,0,0.1,0.1,0,0,0,0,1,0,0,0,0.1,0,0.1,1,0,0.3,0.4,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.5,0.1,0.4,0.4,0.4,0.1,0.3,0.5,0.4,0,0.1,0.4,0.3,0.1,0.2,0.3,0.5,0,0.2,0.6,0.5,0.1,0.3,0.4,13
"G. Chirkin",0.6,0.8,0.1,0.8,0.3,0.4,0.3,0.4,0.4,0.7,0.9,0.2,0.4,0.1,0,0,0.7,0.3,0.4,0.3,0.8,0.2,0.9,0.4,0.6,0.4,0.8,0.4,0.2,0.5,0.1,0.2,0.3,0.4,0.4,0,0.2,0.3,0.2,0.5,0.2,0.5,0.8,0.6,0.2,0.1,0.6,0.1,0.4,0.1,0.4,0.5,0.1,0.1,0,0.3,0.2,0.2,0,0,0.1,0,0,0,0,0.2,0.1,1,0.6,1,0.8,1,1,1,0.5,1,0.6,0.6,0.6,0.9,0.3,0.6,0.8,1,1,1,0.6,1,1,1,0.4,6
"G. Melkadze",0.2,0,0,1,0.2,0,0.4,0,0.2,0.7,0.3,0,0,0.4,0,0,0.8,0.4,0.5,0.3,1,0.3,0.9,0.4,0.8,0.5,0.9,0.5,0,0,0.1,0.1,0.3,0.4,0.4,0,0.2,0.5,0.1,0.5,0.3,0.7,0.6,0.6,0.9,0.1,1,0.1,0,0.2,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0.2,0.6,0.1,0,0,0.8,0.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21
"G. Onugkha",0.1,0,0,0.9,0.2,0,0.1,0.6,0.1,0.3,0.1,0,0.3,0.2,0,0.2,0.6,0.3,0.6,0.5,0.8,0.2,0.9,0.5,0.7,0.6,0.8,0.6,0,0,0.1,0.4,0.6,0.3,0.3,0.1,0.3,0.2,0.3,0.5,0.2,0.5,0.5,0.4,0.2,0.6,0.6,0.2,0,0,0.1,0.1,0,0,0.2,0.5,0.7,0.7,0.2,0.5,0.4,0.4,0.6,0.6,0.8,0.3,0.6,0.8,0.3,0.8,0,0.9,0.5,0.3,0.2,0.8,0,0.5,0.6,0.9,0.2,0.1,0.4,1,1,0.1,0.4,0.9,0.5,0.3,0.2,20
"G. Trufanov",0.2,0,0,1,0.1,0,0,0,0.1,0.5,0.2,0,0,0,0,0,0.4,0.2,0.6,0.3,0.9,0.1,0.9,0.2,0.5,0.3,0.8,0.2,0,0,0.3,0.2,0.5,0.4,0.4,0.4,0.2,0.7,0.2,0.6,0.6,0.4,0.4,0.5,0.1,0.1,0.8,0.1,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0,0,0,0,0.1,0,0.7,0.1,0.8,0.2,0.5,0,0.4,0.9,0.7,0.1,0.2,0.5,0.3,0,0.1,0.6,0.3,0,0.1,0.9,0.3,0,0.2,0.8,4
"I. Alshin",0.3,0.9,0.4,0.9,0.3,0.3,0.2,0.4,0.6,0.5,0.2,0.5,0.5,0.2,0.1,0.3,0.6,0.4,0.8,0.6,1,0.8,1,0.1,0.9,1,1,1,0,0,0,0,0.2,0.3,0.3,0,0.6,0.5,0.6,0.5,0.4,0.7,0.5,0.6,0.4,0.4,0.6,0.6,0.2,0.5,0.4,0.7,0.3,0.6,0.1,0.3,0.5,0.6,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.6,0.3,0.8,0.7,0.7,0,0.7,0.1,0.2,0.1,0.6,0.3,0.6,0.3,0.7,0.4,0.4,0.6,0.8,0.7,0.4,0.1,0.7,0.5,0.3,0.1,7
"I. Andreev",0.1,0,0,1,0.1,0.5,0.2,0.5,0.1,0.3,0.2,0.4,1,0.1,0,0,0.6,0.4,0.7,0.7,0.9,0.3,0.9,0.1,0.8,0.6,0.9,0.5,0,0,0.1,0.2,0.2,0.4,0.4,0.5,0.1,0,0.1,0.6,0.3,0.7,0.2,0.5,0.3,0.1,0.3,0.1,0,0.1,0.2,0,0.6,0.1,0.5,0.5,0.2,0,0,0,0.1,0.5,0.1,0.4,0.1,0.1,0,0.6,0.4,0.6,0.1,0.5,0.1,0.3,0.2,0.3,0,0.3,0.4,0.8,0,0,0.4,0.2,0,0.1,0.3,0.2,0,0,0.1,1
"I. Belous",0.1,0,0,1,0.2,0.3,0.1,0.6,0.1,0.4,0.1,0.2,0,0.1,0.1,0,0.2,0.2,0.5,0.1,0.8,0.1,0.9,0.6,0.6,0.2,0.8,0.3,0,0,0.1,0.4,0.3,0.2,0.2,0,0.2,0.2,0.2,0.4,0.2,0.6,0.3,0.3,0.1,0.5,0.3,0.2,0.2,0,0.1,0.2,0,0,0.1,0.3,0.4,0.3,0.2,0.5,0.2,0.3,0.2,0.2,0.2,0.1,0.2,0.9,0.4,0.7,0.1,1,0.3,0.2,0.1,0.9,0,0.4,0.8,0.9,0,0,0.8,0.9,0.3,0.2,0.4,0.9,0.5,0.2,0.1,8
"I. Bezdenezhnykh",0.5,1,0.2,0.8,0.4,0.4,0.5,0.4,0.5,0.7,0.6,0.4,0.5,0.3,0.4,0.1,0,0.2,0,0,1,0.1,0.9,0.8,0.7,0.3,0.9,0.4,0,0,0,0,0.4,0.3,0.3,0.6,0.3,0,0.3,0.3,0.5,0.3,0.4,0.4,0.4,0.2,0.5,0.3,0.3,0.2,0.5,0.6,0.4,0.6,0.1,0.3,0.6,0.5,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.3,1,1,0.9,0.2,0.9,0.6,0.4,0,1,0.3,0.3,0.5,0.9,0.3,0.9,0.5,0.9,1,0.9,0.4,0.8,0.8,0.6,0,14
"I. Chudin",0.4,1,0.1,0.8,0.3,0,0.1,0.5,0.2,0.8,0.5,0.1,0,0,0.2,0,0.7,0.4,0.5,0.6,0.9,0.2,1,0.2,0.7,0.6,0.9,0.5,0.3,1,0.1,0.5,0.3,0.4,0.5,0.3,0.1,0.5,0.1,0.6,0.4,0.7,0.4,0.6,0.4,0.1,0.4,0.1,0.4,0.1,0.2,0.2,0.1,0.1,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0.1,1,0.3,0.9,0.1,1,0.7,1,0.6,1,0.9,0.7,0.5,0.9,0.5,0.7,0.6,1,0.5,0.7,0.4,0.8,0.7,0.6,0.6,6
"I. Demin",0.3,0,0,0,0,0,0,0,0.1,0.8,0.8,0,0,0.2,0,0,0.6,0.3,0.8,0.2,0.9,0.2,1,0.5,0.7,0.4,0.9,0.4,0,0,0.3,0.1,0.5,0.5,0.6,0.5,0.2,0,0.2,0.4,0.3,0.5,0.8,0.8,0.2,0,0.5,0.1,0,0.1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0.3,0.1,0.5,0.3,0.2,0,0.1,0.8,0.7,0,0,1,0,0,0.1,0.8,0.2,0,0.6,0.6,0.1,0,0.3,0.4,4
"I. Ediev",0.5,0,0,0.9,0.2,0.4,0.2,0.3,0.2,0.5,0.5,0,0,0,0,0,0.8,0.5,0.5,0.5,1,0.2,0.9,0.1,0.7,0.5,0.9,0.4,0,0,0.1,0.5,0.2,0.4,0.5,0.2,0.2,0.1,0.2,0.6,0.3,0.6,0.3,0.6,0,0.2,0,0,0,0,0,0,0,0,0.2,0.5,0.1,0.2,0.2,0.5,0.1,0.1,0.2,0.1,0.2,0,0.1,0.9,0.6,1,0.2,0.8,0.3,1,0.7,0.7,0.2,0.2,0.2,0.9,0.1,0.4,0.7,0.5,0,0.2,0.8,0.6,0.1,0.5,0.5,19
"I. Gaponov",0.8,0,0,0.3,0.2,0.2,0.2,0.5,0.1,0.7,0.6,0.1,0,0,0,0,0.8,0.4,0.5,0.6,0.9,0.4,1,0.3,0.8,0.9,1,0.7,0,0,0.1,0.2,0.3,0.4,0.4,0.3,0,1,0,0.5,0.3,0.7,0.4,0.5,0.3,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.2,0.7,0.3,0.5,0.6,1,0.8,0.9,0.3,0.2,0.4,1,0.3,0.3,0.5,0.9,0,0.7,0.7,0.9,0,0.6,0.8,19
"I. Gorbunov",0.3,1,0.8,0.8,0.3,0.2,0.3,0.5,0.6,0.6,0.1,0.9,0.3,0.3,0,0.3,0.3,0.3,0.4,0.1,0.7,0.1,0.9,0.7,0.5,0.2,0.8,0.3,0,0,0.1,0.2,0.3,0.2,0.2,0,0.6,0.3,0.5,0.3,0.1,0.6,0.5,0.5,0.3,0.6,0.5,0.5,0.5,0.6,0.7,0.8,0.3,0.4,0.1,0.4,0.4,0.4,0,0,0.3,0.3,0.2,0.2,0.2,0.6,0.3,0.8,0.2,0.8,0.1,0.9,0.8,0.4,0.1,0.7,0.1,0.4,0.3,0.8,0.4,0.3,0.3,0.8,0.2,0.2,0.1,0.8,0.4,0.4,0,7
"I. Ivanchenko",0.2,1,0.1,0.8,0.2,0,0.1,0.3,0.1,0.6,0.2,0.2,0,0,0,0,0.3,0.3,0.6,0.1,0.6,0.1,0.9,0.5,0.6,0.1,0.8,0.2,0,0,0.1,0.3,0.4,0.2,0.3,0.1,0,0,0,0.2,0.1,0.5,0.6,0.3,0.1,0.5,0.3,0.3,0.3,0.1,0.2,0.1,0,0,0.1,0.3,0.4,0.2,0,0,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.8,0.1,0.8,0.1,0.8,0.3,0.3,0.6,0.9,0.6,0.7,0.6,0.2,0,0,0.6,0.5,0.1,0.1,0.6,0.6,0.3,0.4,0.7,10
"I. Kamyshev",0.4,1,0.2,0.6,0.2,0.2,0.1,0.4,0.3,0.7,0.3,0.1,0.2,0.1,0,0.1,0.7,0.4,0.5,0.3,1,0.2,0.9,0.2,0.7,0.4,0.9,0.4,0,0,0.1,0.2,0.3,0.3,0.4,0.4,0,0,0,0.5,0.3,0.6,0.3,0.5,0.2,0.1,0.5,0.1,0.4,0.2,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,1,0.7,1,0,1,0.7,0.5,0,1,0.7,0.4,0.3,0.6,0.3,0.4,0.2,0.7,0.3,0.7,0.7,1,0.8,0.7,0.4,6
"I. Khaimanov",0.5,1,0.1,0.5,0.1,0.1,0.2,0.2,0.1,0.6,0.5,0,1,0,0,0,0.9,0.9,0.7,0.5,1,0,0,0,0.8,0.3,0.9,0.1,0,0,0.1,0.2,0,0.1,0.2,0,0,1,0,1,0,0,0,0.2,0.1,0.2,0.8,0.1,0.5,0,0,0,0,0,0,0,0.3,0.3,0,0,0.1,0,0,0,0,0.1,0.1,0.8,0.1,0.8,0.4,0.7,0.1,0.6,0.6,0.5,0.1,0.1,0.6,0.8,0.1,0.4,0.6,0.6,0,0.5,0.6,0.6,0.1,0.7,0.5,13
"I. Khleborodov",0.1,1,0,0.9,0.3,0.5,0.1,0.4,0.1,0.8,0.1,0.2,0.5,0.1,0,0,0.2,0.1,1,0,0.8,0.1,0.9,0.4,0.7,0.1,0.9,0.2,0,0,0.1,0.2,0.4,0.1,0.1,0.1,0.2,0.4,0.2,0.4,0.9,0.4,0.2,0.2,0.1,0.7,0.4,0.1,0.5,0,0.1,0.1,0,0,0,0.3,0.7,0.4,0,0,0.6,0,0,0,0,0.2,0.5,0.8,0.1,0.6,0.2,0.8,0,0.1,0.4,0.4,0,0.8,0.8,0.7,0.1,0.1,0.7,0.9,0.1,0.2,0.3,0.9,0.2,0.2,0.1,8
"I. Khomukha",0.7,1,0,0.7,0.2,0.5,0.2,0.4,0.1,0.7,0.7,0,0.8,0.1,0,0,0.2,0.2,0.5,0,0.7,0.1,0.9,0.4,0.6,0.1,0.8,0.2,0,0,0.2,0.3,0.5,0.1,0.1,0,0,0,0,0.3,0.7,0.5,0.2,0.2,0.1,0.2,0,0,1,0,0.1,0.1,0,0,0,0.1,0.2,0.2,0,0,0.1,0,0,0,0,0,0.1,1,0.7,1,0.2,1,0.2,0.6,0.5,0.8,0.1,0.1,0.2,0.8,0.2,0.8,0.3,0.7,0,0.4,0.3,0.8,0,0.6,0.4,18
"I. Kireev",0.5,1,0.2,0.7,0.4,0.4,0.4,0.5,0.3,0.7,0.4,0.4,0.5,0.1,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0.3,0.2,0.4,0.1,0.2,0.3,0.2,0.2,0,0,0,0.1,0.2,0.1,0,0,0,0,0,0,0,0.1,0,0.5,0.2,0.8,0.2,0.5,0.1,0.4,0.4,0.6,0,0.2,0.4,0.8,0.2,0.5,0.4,0.7,0.2,0.3,0.3,0.6,0.2,0.4,0.3,2
"I. Klimov",0.5,0,0,0.9,0.1,0,0.1,0.5,0.1,0.6,0.3,0,0,0,0,0,1,1,0.5,0.6,0.9,0,0,0,0.6,0.4,0.7,0.2,0,0,0.1,0.2,0,0.1,0.2,0,0,0,0,1,0.1,0,0,0.2,0.2,0,0.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.8,0.4,0.9,0.1,0.8,0,0.7,0.6,0.8,0.2,0.2,0,0.9,0.1,0.6,0.6,0.8,0.1,0.5,0.6,0.8,0,0.6,0.6,13
"I. Kubyshkin",0.4,0.8,0.2,0.4,0.4,0,0.3,0.3,0.4,0.5,0.5,0,0,0.1,0.2,0.2,0.5,0.4,0.4,0.4,0.8,0.2,0.9,0.3,0.6,0.4,0.8,0.4,0.2,0.5,0.1,0.2,0.6,0.4,0.5,0.3,0.4,0.2,0.3,0.6,0.1,0.5,0.7,0.7,0.2,0.1,0.6,0.2,0.3,0.2,0.1,0,0,0,0,0.2,0.5,0.3,0,0,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.9,0.1,0.9,0.9,1,0.2,0.6,0.6,1,0.1,0.2,0.8,0.5,0.1,0.5,0.8,1,1,0.7,0.6,1,0.5,0.8,0.5,17
